Tweeter ,retweet count,liked count,language,Emotion,polarity,Postive/Neg,Sensitive ,text,,
@bulkevans,0,0,en,anger,negative,-1,FALSE,@MattBerch87 @dmarble1 Flat Earthers hate debates,,
@ShootaFairOne,0,0,en,unknown,positive,0,FALSE,People want a reality show where flat earthers hunt for the edge of the world https:..t.co.OabXuxgHMZ,,0
@politicians_sux,0,0,en,fear,negative,-1,FALSE,@StitchASvGHeart @candybossinit @realDonaldTrump Word association. Republicans = conservatives = Christians = flat earthers. Again propaganda to instill fear in people. The media's been pulling this shit for years.,,
@RedOphiuchus,0,0,en,fear,negative,-2,FALSE,@MindfulCopper @VesuviaAdelia @insidehighered There really are some things that don't need debate. For instance: it's a waste of time to debate flat earthers.There are opinions that should prevent you working certain jobs. If your opinion of women is this,,
@StitchASvGHeart,0,1,en,unknown,positive,-1,FALSE,@politicians_sux @candybossinit @realDonaldTrump Flat earthers are christian conservatives dear.,,
@CoachDPenrod,0,0,en,unknown,negative,-2,FALSE,Television show idea: a reality show where flat earthers search for the edge of the earth,,
@keith_wentworth,0,0,en,joy,neutral,-2,FALSE,@QuietlyRiot @_Gravity_Man @Itsjustanillus @MAK7PIA @mikedfe79 @Its_Stationary @slayckx @DSL1912 @dmarble1 @WeAreWakinUp @GLOBEXIT_RO @facebones777 @barmanamar1976 @rob46203robert @FlatEarthCity @tomandsteveshow @phiroc @AMassAwakening @BritFlatEarth Spen,,
@queso_the_rogue,0,0,en,unknown,negative,-3,FALSE,@tsnurds Considering how many times flat earthers block and mute globeheads especially me to avoid their arguments I'd say that picture should be the other way around.,,
@sars_cov,1,0,en,unknown,positive,-2,FALSE,RT @cultofshinees: explain this flat earthers https:..t.co.L78KgcZglz,,
@RealNoss,0,0,en,unknown,negative,-3,FALSE,We need to load all the flat earthers onto a space ship and shoot them to outer space to prove them wrong... and not bring them back,,
@feedyurhed,0,1,en,sadness,negative,-4,FALSE,@nealboudette @kimpaquette @bonnienorman @mayemusk @nytimes @Tesla @cleantechnica If you talk to flat-earthers and then you can�t get the administrator of NASA on the phone that doesn�t mean the earth is flat. This isn�t about journalism it�s abou,,
@StitchASvGHeart,0,1,en,joy,positive,-3,FALSE,@politicians_sux @candybossinit @realDonaldTrump Republicans don't think. Thus their push for flat earthers being in charge of education,,
@Not_Relic,0,9,en,joy,positive,-2,FALSE,Good morning to everyone except for the flat earthers ?,,
@gbetree,0,0,en,unknown,positive,-1,FALSE,"Attention ""Flat Earthers"".... https:..t.co.LJWbqau6sg",,
@UrbanCentrX,0,0,en,unknown,positive,0,FALSE,People want a reality show where flat earthers hunt for the edge of the world https:..t.co.3XW6J83fKL,,
